Neighborhood,Intersection Count,Density (st. mi/area mi^2),Miles of Major Roads,Total Street Miles,Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Motorcycle (2010),Commute to Work: Taxi (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Population (2010),Total Working Pop. (Age 16+) (2010),Percent Working Pop.,Work at Home (2010)
Allegheny Center,14,19.7212729193571,2.2324254004743,4.141467313065,0.277202072539,0.0984455958549,0.168393782383,0.0,0.0,0.0,0.437823834197,0.0,933,386,41.3719185423365,0.0181347150259
Allegheny West,4,34.5449833595474,1.47162706658939,4.87084265369618,0.23178807947,0.205298013245,0.158940397351,0.0,0.145695364238,0.0,0.258278145695,0.0,462,151,32.6839826839827,0.0
Allentown,4,41.7819962257168,1.64845133953521,12.3256888865864,0.469660194175,0.109223300971,0.379854368932,0.00849514563107,0.0,0.0,0.0,0.0145631067961,2500,824,32.96,0.0182038834951
Arlington,1,22.8388705626949,0.861571422159091,10.7342691644666,0.739970282318,0.072808320951,0.135215453195,0.0,0.0,0.0,0.0193164933135,0.00891530460624,1869,673,36.0085607276619,0.0237741456166
Arlington Heights,,8.23075969294723,0,1.08646027946903,0.111111111111,0.0,0.888888888889,0.0,0.0,0.0,0.0,0.0,244,72,29.5081967213115,0.0
Banksville,6,18.9131940181137,5.98560452734958,18.3268850035522,0.815243415802,0.0586592178771,0.116919393456,0.0,0.0,0.0,0.00678371907422,0.0023942537909,4144,2506,60.472972972973,0.0
Bedford Dwellings,1,25.0516928724419,0.973902586208466,4.4842530241671,0.367213114754,0.167213114754,0.337704918033,0.0,0.0,0.0,0.127868852459,0.0,1202,305,25.3743760399334,0.0
Beechview,5,21.0599651647876,6.41974258374064,30.7475491405899,0.550780250704,0.153491941673,0.211563059606,0.0,0.0,0.00562803786135,0.0526988999744,0.0,7974,3909,49.0218209179834,0.0258378101816
Beltzhoover,4,40.993274793656,3.32228860269369,17.2581686881292,0.457507082153,0.0807365439093,0.43059490085,0.0,0.0,0.0,0.0,0.0,1925,706,36.6753246753247,0.0311614730878
Bloomfield,30,45.2201728611074,3.79509426961377,31.7445613484974,0.420363494235,0.0926324017979,0.200312683213,0.00840336134454,0.0,0.0642954856361,0.188196208716,0.0,8442,5117,60.6135986733002,0.0257963650577
Bluff,21,50.3865325832848,9.07928672339877,16.4763961547341,0.255257432922,0.0398839738941,0.230601885424,0.0,0.0,0.0,0.430746918057,0.0,6600,1379,20.8939393939394,0.0435097897027
Bon Air,,29.2909670289264,1.6663897646625,9.16807268005396,0.602739726027,0.207762557078,0.134703196347,0.0,0.0,0.0,0.0365296803653,0.0,808,438,54.2079207920792,0.0182648401826
Brighton Heights,12,26.4264312233142,4.18908446723718,29.5183236764419,0.630544354839,0.114919354839,0.179435483871,0.00504032258064,0.0,0.0,0.0320060483871,0.0110887096774,7247,3968,54.7536911825583,0.0269657258065
Brookline,17,27.3186513972907,9.14597104926436,56.8774322091592,0.731144757323,0.0969293901231,0.120277345408,0.00806565728032,0.0036790717419,0.00155653035234,0.0275930380642,0.00594311589076,13214,7067,53.4811563493265,0.00481109381633
California-Kirkbride,3,29.3958693973757,1.58285757032402,6.37890365923053,0.453744493392,0.0,0.409691629956,0.0,0.0,0.0,0.136563876652,0.0,761,227,29.8291721419185,0.0
Carrick,11,27.4848092866637,6.56325741864801,45.9820859365884,0.620949195066,0.103282458708,0.195693079657,0.00271795943968,0.0,0.0,0.0466234580807,0.0,10113,4783,47.2955601700781,0.0307338490487
Central Business District,,48.1923709668466,13.5511004158647,30.8431174187818,0.247765006386,0.0536398467433,0.211366538953,0.0,0.0,0.0,0.419540229885,0.0,3629,1566,43.1523835767429,0.0676883780332
Central Lawrenceville,12,18.9611623955472,2.52979354871312,18.259599386912,0.51823780199,0.201800094742,0.174324964472,0.0,0.0,0.0146849834202,0.076740881099,0.0,4482,2111,47.0995091477019,0.0142112742776
Central Northside,6,47.0200837927535,1.81078693210778,12.1782017023232,0.478863936592,0.0812417437252,0.196829590489,0.0,0.0,0.0204755614267,0.180977542933,0.0,2923,1514,51.7960998973657,0.0416116248349
Central Oakland,16,33.8079231465702,1.11899438348231,9.50002640418623,0.162614587485,0.068951773615,0.13272220008,0.0,0.0,0.0,0.623754483858,0.0,6086,2509,41.2257640486362,0.0119569549621
Chartiers City,,32.754880335893,0.349860720619034,4.32364420433788,0.775280898876,0.0786516853933,0.14606741573,0.0,0.0,0.0,0.0,0.0,477,178,37.3165618448637,0.0
Chateau,8,35.0879779070694,5.72204183466324,13.4386955384076,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,0,0,N/A
Crafton Heights,2,25.6346478348487,3.04224058652559,19.3285244674759,0.677290836653,0.122936824132,0.168468981218,0.00739897552647,0.0,0.0,0.00796812749004,0.00739897552647,3814,1757,46.0671211326691,0.00853727945361
Crawford-Roberts,4,42.9738392077214,1.56740388693612,11.0872505155921,0.653543307087,0.096062992126,0.165354330709,0.0,0.0204724409449,0.0,0.0645669291339,0.0,2256,635,28.1471631205674,0.0
Duquesne Heights,3,22.5507969746025,4.0793408933286,14.0491465151773,0.55928045789,0.162714636141,0.140637775961,0.0,0.0,0.0,0.028618152085,0.017170891251,2425,1223,50.4329896907216,0.0915780866721
East Allegheny,11,71.7811830513088,7.58596253141116,16.9403592001089,0.442677824268,0.122175732218,0.229288702929,0.0,0.0,0.0092050209205,0.135564853556,0.00836820083682,2136,1195,55.9456928838951,0.052719665272
East Carnegie,1,12.8555751612478,0.771847003994508,5.55360846965904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570,86,15.0877192982456,0.0
East Hills,6,27.0327942040582,1.67734699821449,14.6247416643955,0.460099750623,0.105985037406,0.361596009975,0.0,0.0,0.0,0.0286783042394,0.0336658354115,3169,802,25.3076680340802,0.00997506234414
East Liberty,31,36.3749868837727,4.59167092055746,21.1338673794719,0.478754732857,0.100967606226,0.23811527135,0.0,0.0,0.0,0.159023979806,0.00925536390408,5869,2377,40.5009371272789,0.0138830458561
Elliott,6,31.4247893147119,4.05511415986364,19.0434223247154,0.434141201264,0.22655426765,0.276080084299,0.0,0.0,0.0,0.0326659641728,0.0,2381,949,39.8572028559429,0.0305584826133
Esplen,2,18.6749731290744,1.41913674126648,4.29524381968712,0.397058823529,0.441176470588,0.161764705882,0.0,0.0,0.0,0.0,0.0,301,68,22.5913621262458,0.0
Fairywood,1,9.39933717277344,1.39816001771491,9.10795772041746,0.422413793103,0.146551724138,0.0603448275862,0.112068965517,0.0,0.0,0.0,0.0,1002,116,11.5768463073852,0.258620689655
Fineview,,34.0320342204137,0.649926115965341,8.50800855510343,0.482632541133,0.0511882998172,0.371115173675,0.0,0.0255941499086,0.0,0.0694698354662,0.0,1285,547,42.568093385214,0.0
